id,İl,İlçe,Mahalle,mahalleid,Ada,Parsel,tapuzeminref,tapualan,Toplam Alan(m2),Toki Hissesi(m2),İmar Durumu,Açıklama,Satış Birim Bedeli,Muhammen Bedel,Satış Bedeli,parselgeom
52,MUĞLA,BODRUM,ÇİFTLİK,139255,240,94,140695269,486.69,486.69,486.69,KONUT ALANI,"E:0,40
Taşınmazın cephe genişliğinin dar olması nedeni ile komşu
parselle tevhit yapılması gerekmektedir.",18000,8760420,,"POLYGON ((27.575879527956 37.0339587346795, 27.57586950832 37.0339791463015, 27.575861687436 37.0340001664545, 27.5758597414267 37.0340076757873, 27.5754989585249 37.0340342431003, 27.5754778073727 37.034011343711, 27.575813807754 37.0338499348095, 27.575985283401 37.0337675675599, 27.575879527956 37.0339587346795))"
53,MUĞLA,BODRUM,KARAKAYA,139368,371,2,140730004,1313.61,1313.61,1313.61,KONUT ALANI + YAPI YASAKLI ALAN,"E:0,10
Taşınmaz 3. Derece Doğal Sit Alanında kalmaktadır.",13000,17076930,,"POLYGON ((27.2400220802698 37.0483526455681, 27.2396403428716 37.0485004586129, 27.2392157145877 37.0486649351126, 27.239158018291 37.0486917209268, 27.2391161592944 37.0487144204498, 27.2390715129459 37.0487445140064, 27.2389758580291 37.0488193105249, 27.2389409874125 37.0488481230847, 27.2389117624936 37.0488850336914, 27.2388960215765 37.0489202054398, 27.2388881323754 37.0489498652185, 27.2388847398988 37.0489796061347, 27.2388869931509 37.0490174451087, 27.2390239887018 37.0495131014838, 27.238979170455 37.0495604051125, 27.238897282695 37.0492541264615, 27.238821990925 37.0489721625324, 27.2387630220652 37.0487514333667, 27.2387676540952 37.0487505691888, 27.2392282283211 37.0486186506762, 27.2401734500368 37.0482369019626, 27.2401710783918 37.0482617028604, 27.2401525973289 37.0482830944355, 27.2401327490622 37.0482986320204, 27.2401073893109 37.0483130994055, 27.2400654116518 37.048333637018, 27.2400220802698 37.0483526455681))"
54,MUĞLA,BODRUM,KARAKAYA,139368,372,5,140719509,531.82,531.82,531.82,TURİZM TESİS ALANI + KENTSEL TASARIM ALANI,"Taşınmaz yapılaşamaya kapalı olup, 3. Derece Doğal Sit Alanında kalmaktadır.",13000,6913660,6913660,"POLYGON ((27.237147269754 37.0495244521405, 27.237109768508 37.0494886383414, 27.237224157277 37.0494431539574, 27.237341258881 37.0492138789944, 27.237570448278 37.0491347644564, 27.2379717231 37.0489410565974, 27.238173390156 37.0488320811904, 27.23741606193 37.0492661710355, 27.237270150555 37.0495214529264, 27.237147269754 37.0495244521405))"
55,MUĞLA,BODRUM,KARAKAYA,139368,373,3,140755502,1782.42,1782.42,1782.42,TURİZM TESİS ALANI + KENTSEL TASARIM ALANI,"Taşınmaz yapılaşamaya kapalı olup, 3. Derece Doğal Sit Alanında kalmaktadır.",12500,22280250,22280250,"POLYGON ((27.2380065091166 37.0485899899998, 27.2381617622118 37.0488027867448, 27.238154543361 37.0488081511224, 27.237954468202 37.0489229800635, 27.237560602301 37.0491133393464, 27.237318857023 37.0492035614635, 27.237186878956 37.0494205216754, 27.237105901267 37.0494438385364, 27.236905271121 37.0494524347864, 27.236834485513 37.0495001493564, 27.236537493647 37.0495741703294, 27.2362546519293 37.0495754609487, 27.2361754988026 37.0494284251963, 27.236066405302 37.0493871898583, 27.2360458884743 37.0493640865995, 27.236155067866 37.0493918343284, 27.236308558183 37.0493271395594, 27.236465791106 37.0495064639215, 27.236788134331 37.0494880769894, 27.238101130769 37.0487299573354, 27.2380065091166 37.0485899899998))"
56,MUĞLA,BODRUM,KARAKAYA,139368,458,1,140716575,222.65,222.65,222.65,KONUT ALANI + YAPI YASAKLI ALAN,"E:0,10
Taşınmaz 3. Derece Doğal Sit Alanında kalmaktadır.",13000,2894450,2894450,"POLYGON ((27.2406478567823 37.0482422347199, 27.2405975337008 37.0482515665648, 27.2405845826386 37.0482079824783, 27.2403124864932 37.0482601578617, 27.240318468535 37.0483039361638, 27.2402895731895 37.048302101946, 27.24026413444 37.0482912504396, 27.2402552995092 37.0482698235237, 27.2402558003161 37.0482134584198, 27.24048092199 37.0481732008495, 27.2406220570757 37.0481753982275, 27.2406478567823 37.0482422347199))"
57,MUĞLA,BODRUM,PEKSİMET,138791,101,2,140755626,855.26,855.26,855.26,TURİZM TESİS ALANI,"TAKS:0,15 KAKS:0,30
Taşınmaz 3. Derece Doğal Sit Alanı içerisinde yer almaktadır.",45000,38486700,,"POLYGON ((27.239230289232 37.0369699630984, 27.2393557463764 37.0372756163932, 27.2391456511231 37.0373211317639, 27.2389462583876 37.0370541309017, 27.239182454445 37.0369484336344, 27.239199538374 37.0369483995055, 27.239216301925 37.0369537722734, 27.239230289232 37.0369699630984))"
58,MUĞLA,BODRUM,TÜRKBÜKÜ,139073,109,6,140700038,231.7,231.7,231.7,TURİZM + KONUT ALANI,"TAKS: 0,10 ve KAKS: 0,20",55000,12743500,,"POLYGON ((27.371947212234 37.1438793784514, 27.3717344480284 37.1438506963972, 27.3717970301519 37.1437729072085, 27.3719722258633 37.1437063363486, 27.371947212234 37.1438793784514))"
59,MUĞLA,BODRUM,TÜRKBÜKÜ,139073,112,30,140695307,415.47,415.47,415.47,TURİZM + KONUT ALANI,"TAKS: 0,10 ve KAKS: 0,20",52000,21604440,,"POLYGON ((27.371061147157 37.1400503999114, 27.3711457862116 37.1402636113264, 27.3709860172142 37.1403069420696, 27.370985526393 37.1403061715394, 27.370919062359 37.1402017690724, 27.370890896533 37.1400807576134, 27.371061147157 37.1400503999114))"
60,MUĞLA,BODRUM,TÜRKBÜKÜ,139073,275,9,140693607,1588.59,1588.59,1588.59,KONUT ALANI,"E: 0,20",45000,71486550,,"POLYGON ((27.367464354749 37.1454294639474, 27.367234241833 37.1452802449534, 27.367228891036 37.1451514130354, 27.3672058123 37.1450806629694, 27.3672009952017 37.1450351626918, 27.3678283085585 37.1452470368211, 27.3676366169844 37.1455546804007, 27.3675603397884 37.1455242229254, 27.367530187809 37.1454965672254, 27.367464354749 37.1454294639474))"
61,MUĞLA,BODRUM,YENİKÖY,122420,1059,7,140716481,365.58,365.58,365.58,TİCARET ALANI,"TAKS: 0,20 ve KAKS: 0,40",80000,29246400,,"POLYGON ((27.405993732907 37.0425962105794, 27.4059325513218 37.0426312394446, 27.4058523096736 37.042631829184, 27.4058033815586 37.0426041456063, 27.405775100511 37.0425644862044, 27.405760264575 37.0425230360435, 27.40574913828 37.0424781618844, 27.405752399837 37.0424413077774, 27.406013746429 37.0424839364734, 27.405993732907 37.0425962105794))"
62,MUĞLA,BODRUM,YENİKÖY,122420,1063,6,140707558,400.12,400.12,400.12,KONUT ALANI,"TAKS: 0,15 ve KAKS: 0,30",45000,18005400,,"POLYGON ((27.405796286179 37.0438532124504, 27.405602844495 37.0435251231055, 27.4057082487953 37.0434712816241, 27.4057135480465 37.0434758851891, 27.4057807496929 37.0435338197605, 27.4057972168739 37.0436080248362, 27.405796409214 37.0436226259234, 27.40583945219 37.0438407788075, 27.405796286179 37.0438532124504))"
63,MUĞLA,BODRUM,YENİKÖY,122420,1202,14,140715750,485.64,485.64,485.64,KONUT ALANI," TAKS: 0,20 ve KAKS: 0,40 ",40000,19425600,,"POLYGON ((27.412121317911 37.0472007794781, 27.4122138765243 37.0470799908473, 27.4123046224454 37.0470015637108, 27.412460503359 37.0469321981973, 27.412467730066 37.0469492222714, 27.41253742992 37.0470141881544, 27.412504558747 37.0470270606824, 27.412378823226 37.0471053011894, 27.412282820854 37.0471659961704, 27.41220557622 37.0472140832895, 27.412123476655 37.0472686545074, 27.412065735735 37.0473010937328, 27.4120687357922 37.0472956792616, 27.412121317911 37.0472007794781))"
64,AMASYA,MERKEZ,HELVACI,126977,365,108,140767619,532.16,532.16,532.16,KONUT ALANI,"E:1,50 Taks: 0,30, Yençok :10 kat
 (18. Madde Uygulamasına Tabidir.)",6365,3387198.4,3387198.4,"POLYGON ((35.8183988829492 40.6166704723026, 35.8187309873516 40.6168123783138, 35.8182708976977 40.6168839666084, 35.8182383542494 40.6168592621847, 35.8182310491104 40.6168527345507, 35.8182237569554 40.6168430027848, 35.8182190438514 40.6168312303448, 35.8182184265994 40.6168154575187, 35.8182242972254 40.6167996501008, 35.8182308510874 40.6167910450768, 35.8182396936124 40.6167833173608, 35.8183988829492 40.6166704723026))"
65,AMASYA,MERKEZ,HELVACI,126977,365,109,140767753,1336.33,1336.33,1336.33,KONUT ALANI,"E:1,50 Taks: 0,30, Yençok :10 kat
 (18. Madde Uygulamasına Tabidir.)",6300,8418879,,"POLYGON ((35.8167978262541 40.6172287018135, 35.81689996645 40.6176417297978, 35.8168299549587 40.6176932815491, 35.8167724959898 40.617695905371, 35.8164134476994 40.6173196693847, 35.8164187131984 40.6172965110317, 35.8166717334163 40.6171468232313, 35.8167869069031 40.6172361358633, 35.8167978262541 40.6172287018135))"
66,AMASYA,MERKEZ,HELVACI,126977,365,110,140767770,276.7,276.7,276.7,KONUT ALANI,"E:1,50 Taks: 0,30, Yençok :10 kat
 (18. Madde Uygulamasına Tabidir.)",6425,1777797.5,2400000,"POLYGON ((35.8170348355074 40.6174576837117, 35.8169650002176 40.6171752893231, 35.817156101489 40.6173606328651, 35.8172193818015 40.6173930643057, 35.8171048197354 40.6174754168408, 35.8170348355074 40.6174576837117))"
67,AMASYA,MERKEZ,HELVACI,126977,365,111,140767824,427.29,427.29,427.29,KONUT+TİCARET ALANI," E:1,50, 0,30 Yençok: 5 kat
 (18. Madde Uygulamasına Tabidir.)",6930,2961119.7,,"POLYGON ((35.8159032699679 40.6175247863651, 35.8155281873629 40.6172219203355, 35.815520676737 40.6171624196932, 35.8159954596556 40.6174366372459, 35.8160077383234 40.6174657923578, 35.8159032699679 40.6175247863651))"
68,AMASYA,MERKEZ,İHSANİYE,126982,698,16,140767593,759.9,759.9,759.9,KONUT ALANI,"Ayrık Nizam, 3 Kat, TAKS: 0,40",23000,17477700,,"POLYGON ((35.8318142484569 40.667562887089, 35.8318262584579 40.6675368796968, 35.832115689042 40.667615825794, 35.8322604639484 40.6676552086054, 35.8322244377439 40.667731880145, 35.8320437698882 40.6677630454631, 35.8318803125646 40.6677693813437, 35.8317587249658 40.6677740670286, 35.831718406677 40.6677701360608, 35.8318142484569 40.667562887089))"
69,AMASYA,MERKEZ,İHSANİYE,126982,1242,7,140767620,295.33,295.33,295.33,KONUT ALANI,"Bitişik Nizam, 3 Kat
Taşınmaz tek başına yapılaşma hakkı bulunmamakta olup, yapılaşma şartlarını sağlaması için 15-16 madde uygulaması görmesi gerekmektedir.
Taşınmaz üzerinde çocuk parkı bulunmaktadır.",22000,6497260,,"POLYGON ((35.8320938374579 40.667313235073, 35.8323366905307 40.6673265911083, 35.8322733806599 40.6674743598712, 35.8320487033704 40.6674185086174, 35.8320938374579 40.667313235073))"
70,BARTIN,AMASRA,KALEŞAH,51527,199,5,140702896,1077.92,1077.92,1077.92,KONUT ALANI,"TAKS: 0,30 - KAKS/Emsal: 1,20 - Yençok: 4 Kat",14000,15090880,15090880,"POLYGON ((32.3891431962811 41.7395694887391, 32.389236051479 41.7395593362549, 32.3895395341942 41.7395134672418, 32.3898740296245 41.7394629105186, 32.389874606405 41.739618965439, 32.3892476557 41.739713736776, 32.3891449888927 41.7397215818599, 32.3891373463044 41.7397156861939, 32.3891266681726 41.7397074488381, 32.389119217516 41.7395910245211, 32.3891431962811 41.7395694887391))"
71,ZONGULDAK,KOZLU,ESENKÖY,204070,115,3,140405218,892.68,892.68,892.68,TİCARET+KONUT ALANI," Emsal: 1,50 - Yençok: 5 Kat",11000,9819480,9819480,"POLYGON ((31.692878354586 41.410232154746, 31.692630614265 41.410121656241, 31.692762293521 41.409954424577, 31.692813315774 41.409920880577, 31.692847244716 41.40990478945, 31.692887298522 41.409901209682, 31.692982261818 41.409941365675, 31.693031986653 41.409964237159, 31.693079351263 41.409989790673, 31.693107317991 41.410007350863, 31.693151015494 41.410042124554, 31.692878354586 41.410232154746))"
72,ZONGULDAK,KOZLU,KOZLU GÜNEY,130535,33,506,140358673,809.01,809.01,809.01,YERLEŞİK KONUT ALANI,"Emsal: 0,75 – Hmax:9,50, 3 Kat
Taşınmaz üzerinde tek katlı atıl durumda prefabrik yapı bulunmaktadır.",8500,6876585,6876585,"POLYGON ((31.755836464668 41.433677536892, 31.755756124489 41.43360329888, 31.755617546187 41.433542774791, 31.755615412815 41.433510950004, 31.755604198844 41.433344235179, 31.755604005035 41.433341346991, 31.755647674721 41.433330914605, 31.755693068378 41.433327731613, 31.755733700695 41.433340384811, 31.75578327622 41.433368175554, 31.755929700867 41.433456496642, 31.75597065599 41.433491581973, 31.756005022387 41.433533542918, 31.756009094823 41.43353945407, 31.755954510788 41.433662479299, 31.755928138501 41.43365587923, 31.755905396591 41.433652454768, 31.755884026544 41.433656537694, 31.755854244768 41.433663832885, 31.755836464668 41.433677536892))"
73,ZONGULDAK,KOZLU,KOZLU GÜNEY,130535,468,3,140359298,717.56,717.56,717.56,YERLEŞİK KONUT ALANI,"Emsal: 0,75 – Hmax:9,50, 3 Kat
Taşınmaz üzerinde tek katlı atıl durumda prefabrik yapı bulunmaktadır.",8500,6099260,6099260,"POLYGON ((31.755996414619 41.4334299161, 31.75597118799 41.433423832906, 31.755763455845 41.433300935432, 31.755720318947 41.433287502293, 31.75567654677 41.433283681345, 31.755635714578 41.433286544486, 31.755600885888 41.433294864823, 31.755599312518 41.433270771367, 31.755597197912 41.433239226295, 31.755695866857 41.433097764709, 31.75569857312 41.433093905546, 31.755928200013 41.43314312886, 31.755980994639 41.433161826999, 31.755996414619 41.4334299161))"
74,KASTAMONU,MERKEZ,BUDAMIŞ,130341,154,17,140726867,526.42,526.42,526.42,KONUT ALANI," E: 2.10, Yençok: 10 Kat",,7500000,7500000,"POLYGON ((33.7629058670211 41.3358657656705, 33.7629134078348 41.3361228687608, 33.7627471498216 41.3361258619621, 33.7624920315956 41.3361306143967, 33.7628683789054 41.3358779895197, 33.7629058670211 41.3358657656705))"
75,KASTAMONU,MERKEZ,BUDAMIŞ,130341,199,9,140716472,1352.32,1352.32,1352.32,KONUT ALANI,"E: 1.50, Yençok: 10 Kat",9500,12847040,12847040,"POLYGON ((33.7625248063861 41.3503258441942, 33.7621587404442 41.3504214300938, 33.7620841134701 41.3503782375972, 33.7621163322516 41.350044997561, 33.7622422577624 41.3499289668875, 33.7623301006192 41.3499104675532, 33.7625248063861 41.3503258441942))"
76,SAMSUN,19 MAYIS,BALLICA,157434,416,6,140750248,532.71,532.71,532.71,KONUT ALANI,"Ayrık Nizam 4 Kat, TAKS: 0,30 Kaks: 1,20 ",10000,5327100,,"POLYGON ((36.104728354691 41.4996514731629, 36.1044692948517 41.4998948713003, 36.1043182122958 41.4998190556728, 36.1045867505526 41.4995667559257, 36.104728354691 41.4996514731629))"
77,SAMSUN,19 MAYIS,DEREKÖY/MERKEZ,204109,1539,1,140749196,152.23,152.23,152.23,KONUT ALANI,"Ayrık Nizam 2 Kat, Taks:0,25, Kaks:0,50
Taşınmaz minimum parsel büyüklüğünü sağlamaması nedeniyle tek başına yapılaşamamaktadır.",10800,1644084,2500000,"POLYGON ((36.1185100250181 41.4829643119608, 36.1184150947112 41.4831577747424, 36.1183390606064 41.4831355418942, 36.1184386000798 41.4829422485666, 36.1185100250181 41.4829643119608))"
78,SAMSUN,ATAKUM,BALAÇ,123594,9318,31,140732842,541.88,541.88,541.88,TİCARET ALANI (T1),"Taks:0.60, Yençok=2 Kat ",30000,16256400,30000000,"POLYGON ((36.258065808127 41.3231914184418, 36.2579003217105 41.3230994530374, 36.2578002070458 41.3230567283135, 36.2576407404154 41.3230066101771, 36.2577126593612 41.3229507362332, 36.257747525672 41.3229242512599, 36.2581548930438 41.3230397570874, 36.258065808127 41.3231914184418))"
79,SAMSUN,ATAKUM,ÇOBANLI,123609,12982,35,140747153,1153.53,1153.53,1153.53,KONUT ALANI," Taks:0.25, E:0.90
İmar uygulamasına tabidir.",14000,16149420,20800000,"POLYGON ((36.242287596695 41.3336122517198, 36.242551308642 41.3337477486058, 36.242666546323 41.3338069580969, 36.242675717095 41.3338517253769, 36.242474714545 41.3340359879088, 36.242128786752 41.3338582482169, 36.242287596695 41.3336122517198))"
80,SAMSUN,ATAKUM,ÇOBANLI,123609,12982,36,140746244,665.04,665.04,665.04,KONUT ALANI," Taks:0.25, E:0.90
İmar uygulamasına tabidir.",14300,9510072,,"POLYGON ((36.244645500105 41.3324589856779, 36.244727837446 41.3323834946378, 36.244944602693 41.3321847521748, 36.24507797518 41.3322893311589, 36.245039874076 41.3323657733728, 36.244970905452 41.3325141275628, 36.244821448769 41.3324784293319, 36.244666086789 41.3324607516449, 36.244645500105 41.3324589856779))"
81,SAMSUN,ATAKUM,ÇOBANLI,123609,12982,37,140745793,528.89,528.89,528.89,KONUT ALANI," Taks:0.25, E:0.90
İmar uygulamasına tabidir.",14300,7563127,,"POLYGON ((36.2442589201792 41.3319790464415, 36.244234021781 41.3319214242299, 36.2441479356671 41.331560065637, 36.2444028462187 41.3317599492953, 36.2444785175688 41.3318192853134, 36.2442589201792 41.3319790464415))"
82,SAMSUN,ATAKUM,İNCESU,123621,223,14,140734162,718.73,718.73,718.73,KONUT ALANI,"A-2/ Taks:0,20- Kaks:0,45",17000,12218410,,"POLYGON ((36.204831573916 41.3857004892039, 36.204694281399 41.3855748395349, 36.204672653953 41.3855551138479, 36.204514690585 41.3854106389729, 36.2046635831317 41.3853052083262, 36.2049876824151 41.3856023865973, 36.2048368984428 41.3856971431339, 36.204831573916 41.3857004892039))"
83,SAMSUN,ATAKUM,İNCESU,123621,6782,5,140734794,1842.62,1842.62,1842.62,KONUT ALANI,"Taks:0,25/ E:1.25-Yençok:5 Kat
İmar uygulamasına tabidir.",6200,11424244,11424244,"POLYGON ((36.1878845808718 41.3769408876106, 36.188673657516 41.3768752157048, 36.188583585253 41.3770921574429, 36.1884967628635 41.3771378553984, 36.1879104800666 41.377187254549, 36.18779443642 41.3771796389328, 36.187750251101 41.3771613411414, 36.1878845808718 41.3769408876106))"
84,SAMSUN,ATAKUM,İNCESU,123621,6783,4,140733350,735.13,735.13,735.13,KONUT ALANI,"Taks:0,25/ E:1.25-Yençok:5 Kat
İmar uygulamasına tabidir.",6500,4778345,4778345,"POLYGON ((36.188826099263 41.3760241971679, 36.1888160570884 41.3761198823642, 36.1887929269455 41.3761591935604, 36.188221630889 41.3761580841164, 36.1882391845531 41.3760230575249, 36.188826099263 41.3760241971679))"
85,SAMSUN,ATAKUM,İNCESU,123621,6786,6,140733759,569.45,569.45,569.45,KONUT ALANI,"E:0,10 Yençok:3.50 m",6000,3416700,,"POLYGON ((36.1910734129205 41.3753345022763, 36.191241843278 41.3753268354418, 36.191247121711 41.3756023560629, 36.19095701735 41.3755933103508, 36.1910734129205 41.3753345022763))"
86,SAMSUN,ATAKUM,İNCESU,123621,6852,3,140736448,960.41,960.41,960.41,KONUT ALANI,"Taks:0,25/ E:1.25-Yençok:5 Kat
İmar uygulamasına tabidir.",6500,6242665,,"POLYGON ((36.1906906941091 41.3784508929301, 36.1906088382204 41.3779665961596, 36.190666920574 41.3779423753178, 36.191036502622 41.3784177347808, 36.1906906941091 41.3784508929301))"
87,SAMSUN,ATAKUM,KAMALI,123608,12023,10,140733194,1922.12,1922.12,1922.12,KONUT ALANI,"Ayrık Nizam 5 Kat, TAKS: 0,20 E:1,00 ",10000,19221200,,"POLYGON ((36.23366464554 41.3174900739109, 36.233422436082 41.3177129520049, 36.232867377446 41.3173700944469, 36.233109887365 41.3171474027098, 36.23366464554 41.3174900739109))"
88,SAMSUN,BAFRA,BAHÇELER,154781,1367,6,140747537,236.33,236.33,236.33,KONUT ALANI,"İkiz Nizam 5 Kat Taks:0,40
18.Madde Uygulamasına tabidir.",5500,1299815,,"POLYGON ((35.879333107958 41.5539697990419, 35.879342053264 41.5541294407869, 35.879327373111 41.5541210853909, 35.879203294449 41.5537774367689, 35.879228785247 41.553752811255, 35.879321023432 41.5537539095679, 35.879333107958 41.5539697990419))"
89,SAMSUN,BAFRA,BAHÇELER,154781,2611,1,140745682,439.21,439.21,439.21,KONUT ALANI,"İkiz Nizam 5 Kat Taks:0,40
18.Madde Uygulamasına tabidir.",5500,2415655,2415655,"POLYGON ((35.8795602547485 41.5547661033096, 35.8795871576615 41.5547391955276, 35.8797346329722 41.5547372010359, 35.8797510237223 41.5551397494668, 35.8797261672041 41.5551401026293, 35.879687412689 41.5551182306429, 35.8795602547485 41.5547661033096))"
90,SAMSUN,BAFRA,BAHÇELER,154781,2612,1,140745760,1728.69,1728.69,1728.69,KONUT ALANI,"İkiz Nizam Kısmen 4 Kısmen 5 Kat Taks:0,40
18.Madde Uygulamasına tabidir.",5000,8643450,,"POLYGON ((35.8803416236866 41.55377404865, 35.8803446663515 41.5541367244903, 35.8803411755578 41.5541394153505, 35.879888198541 41.5541426156115, 35.8798544899466 41.5541172564717, 35.8798405259368 41.553774104241, 35.8798638124072 41.5537604544281, 35.880326461809 41.5537659916699, 35.8803416236866 41.55377404865))"
91,SAMSUN,CANİK,DÜVECİK,123579,6033,24,140744180,2001.6,2001.6,2001.6,KONUT ALANI,"E:1,40, Yençok:10 Kat",16500,33026400,,"POLYGON ((36.3265220083032 41.2510973933721, 36.3264694774731 41.2510725960894, 36.326453952135 41.2510471025401, 36.326602639964 41.2503057118853, 36.3266773897487 41.2502811855487, 36.327027692685 41.2504621913868, 36.326757188289 41.2507641667328, 36.326799447002 41.2507852485679, 36.3265220083032 41.2510973933721))"
92,SAMSUN,CANİK,HACIİSMAİL,123571,1572,14,140733356,350.69,350.69,350.69,KONUT ALANI,Blok Nizam 4 Kat,9500,3331555,3331555,"POLYGON ((36.343159524985 41.2607561622318, 36.343104894707 41.2607701405059, 36.3430288466 41.2605913004388, 36.343040297316 41.2605874450209, 36.343159198975 41.2605467321748, 36.343218709337 41.2605263306288, 36.343274864299 41.2607264371588, 36.343159524985 41.2607561622318))"
93,SAMSUN,ÇARŞAMBA,ALİ FUAT BAŞGİL,204611,423,7,140731027,190.16,190.16,190.16,KONUT ALANI,"Ayrık Nizam, 4 Kat, Taks:0,30, Kaks:1,20
Taşınmaz üzerinde ahşap baraka bulunmaktadır.",7500,1426200,,"POLYGON ((36.69782189538 41.1866309381619, 36.6978833499099 41.186703501563, 36.6976822036467 41.1867995200986, 36.697621523327 41.1867273001748, 36.69782189538 41.1866309381619))"
94,SAMSUN,ÇARŞAMBA,BAFRACALI,152105,1792,1,140733196,424.42,424.42,424.42,KONUT ALANI,"E:2,00, Yençok: 7 Kat
18.Madde Uygulamasına tabidir.",5500,2334310,3200000,"POLYGON ((36.730623644334 41.2069507677309, 36.7303868378904 41.2069278555733, 36.7304715144247 41.2066568363722, 36.7304781734452 41.2066366543797, 36.730529945115 41.2066990435488, 36.730592717636 41.2067945733938, 36.730655613458 41.2069202402889, 36.730623644334 41.2069507677309))"
95,SAMSUN,ÇARŞAMBA,KİRAZLIKÇAY,14994,1741,15,140732174,1006.83,1006.83,1006.83,TİCARET ALANI,"E:1,30, Yençok: 2 Kat
Taşınmazın ihdası bulunmaktadır.",8000,8054640,8054640,"POLYGON ((36.717635926061 41.1780673780178, 36.7176441747449 41.1780309232784, 36.7176548269005 41.178035088882, 36.7177837717774 41.1782312081178, 36.7176758625836 41.1787220093823, 36.717494508655 41.1786923605129, 36.717635926061 41.1780673780178))"
96,SAMSUN,ÇARŞAMBA,ORTA,151742,216,17,140731704,448.18,448.18,448.18,KONUT ALANI,"E:2,00, Yençok: 7 Kat 
Taşınmazın uygulama görmesi gerekmekte olup, tek başına
yapılaşma hakkı bulunmamaktadır.",7000,3137260,,"POLYGON ((36.73817917163 41.2044198322159, 36.7381546999424 41.2045363963018, 36.7377968659791 41.2041775865271, 36.7378960603612 41.2041208321977, 36.73817917163 41.2044198322159))"
97,SAMSUN,ÇARŞAMBA,ÜÇKÖPRÜ,204580,1022,229,140732278,438.8,438.8,438.8,KONUT ALANI,"Ayrık Nizam 4 Kat Taks:0,30, Kaks:1,20 ",5800,2545040,,"POLYGON ((36.6916243043233 41.188562821202, 36.6914971720713 41.1884190357464, 36.6914971848882 41.1883852700342, 36.6917122516089 41.1883100030159, 36.6918138503643 41.1884970434658, 36.6916243043233 41.188562821202))"
98,SAMSUN,ÇARŞAMBA,ÜÇKÖPRÜ,204580,1022,230,140731737,443.86,443.86,443.86,KONUT ALANI,"Ayrık Nizam 4 Kat Taks:0,30, Kaks:1,20 ",5800,2574388,,"POLYGON ((36.6920569217953 41.1884125486733, 36.692173897176 41.188601303037, 36.6919678992971 41.1886746412013, 36.6918500906141 41.1884843557233, 36.6920228274487 41.1884244265832, 36.6920569217953 41.1884125486733))"
99,SAMSUN,HAVZA,19 MAYIS,153011,629,9,140734977,638.31,638.31,638.31,KONUT ALANI,"Ayrık Nizam, 3 Kat",8000,5106480,5106480,"POLYGON ((35.6754154065524 40.9756899559406, 35.6757839104676 40.9756566610345, 35.6758354695653 40.9758813605394, 35.6757581669122 40.9759213247305, 35.6756842623542 40.9758878827026, 35.6754657700891 40.9757775233121, 35.6754191736307 40.9757216161969, 35.6754154065524 40.9756899559406))"
100,SAMSUN,HAVZA,MEMDUHİYE,155285,668,12,140736721,189.59,189.59,189.59,KONUT ALANI,"Ayrık Nizam, 2 Kat",7000,1327130,1550000,"POLYGON ((35.6714769898823 40.9578049784828, 35.6714912584292 40.9578260900453, 35.6715362262474 40.9578926373938, 35.6713581040605 40.957972642562, 35.6712947286558 40.9578920940283, 35.6714769898823 40.9578049784828))"
101,SİNOP,BOYABAT,ESENTEPE,153356,630,3,140754370,318.66,318.66,318.66,KONUT ALANI,"A-3, Taks:0.40-Kaks:1.20",10500,3345930,,"POLYGON ((34.7929135236455 41.4603821945698, 34.792956968181 41.4603769690268, 34.7932009448779 41.4605708710423, 34.7930441668172 41.4606204936089, 34.7929900723461 41.4606376047915, 34.7929135236455 41.4603821945698))"
102,SİNOP,BOYABAT,ESENTEPE,153356,813,21,140754661,1683.82,1683.82,1683.82,KONUT ALANI,"A-3, Taks:0.30-Kaks:0.90",8500,14312470,,"POLYGON ((34.7997572449164 41.4578894366398, 34.7999025741893 41.4580306751313, 34.7996612728029 41.4581693071656, 34.7995617954341 41.4581968928002, 34.7993464855512 41.4582048871161, 34.799309246994 41.4581792300343, 34.7992939404956 41.4578798673395, 34.7993284432653 41.4578519914597, 34.7994359624452 41.4578493322957, 34.7994704388357 41.4578292942587, 34.7996121557021 41.4577484680305, 34.7997572449164 41.4578894366398))"
103,SİNOP,BOYABAT,ESENTEPE,153356,814,20,140754990,1238.4,1238.4,1238.4,KONUT ALANI,"A-3, Taks:0.30-Kaks:0.90",8500,10526400,,"POLYGON ((34.7996034300263 41.4572224657256, 34.7996653792311 41.4571777447332, 34.7998461281497 41.4573064633946, 34.7998180082775 41.4573232137355, 34.7997037337097 41.4573911156255, 34.799851335601 41.4575320837336, 34.7996033611397 41.4576737019655, 34.7995730650007 41.4576687922353, 34.7993718748458 41.4573863995611, 34.7993791633056 41.4573591930118, 34.7996034300263 41.4572224657256))"
